V3RD,V4RD,V5RD,V3SRD,V4SRD,LSIRD,TanakaRD,V3IS,V4IS,V5IS,V3SIS,V4SIS,LSIIS,TanakaIS,Prop,Prop_class
-20.3752,-18.836,-5.79564,-24.3183,-15.8016,0.08684,0.807154,-25.5436,-23.1791,-5.34858,-29.022,-26.6431,0.355573,1.39249,0.644054711,0
-23.4121,-16.6166,-6.04014,-26.4891,-17.4312,0.0441062,0.602008,-21.436,-20.8891,-7.51083,-24.8638,-23.1884,0.170155,0.973492,0.549233615,0
-18.5469,-17.6444,-5.58526,-26.5365,-23.472,0.230532,1.16028,-21.0496,-18.9297,-4.54454,-30.0956,-29.8162,0.240101,1.14763,0.493746221,0
-19.223,-8.56246,-6.20483,-19.6198,-13.3172,0.0179,0.444496,-21.4082,-20.0559,-5.3795,-22.8408,-22.6062,0.0978938,0.726528,0.997319639,1
-22.1015,-14.2032,-6.47715,-24.9834,-21.824,0.131038,0.8855,-23.7289,-18.0584,-7.9019,-27.912,-27.3902,0.0979503,0.744337,1.82647502,1
-21.5641,-19.5281,-5.39357,-22.2368,-15.6761,0.0788027,0.77144,-21.7227,-20.1925,-4.66643,-22.034,-18.374,0.0780887,0.648866,0.780432582,0
-22.5226,-18.3718,-5.67529,-25.3024,-24.3263,0.0751338,0.749911,-24.9768,-21.2948,-6.21122,-27.9889,-27.9881,0.28377,1.26343,0.758735418,0
-19.6086,-18.9104,-9.75799,-27.5261,-24.6748,0.0985064,0.85578,-20.8887,-19.9978,-7.30333,-26.4232,-23.3961,0.216135,1.08455,0.702206433,0
-18.9491,-18.4515,-8.00727,-21.2634,-21.1399,0.128903,0.915382,-23.5432,-22.8023,-6.52135,-24.3929,-21.1761,0.24701,1.17231,0.438514173,0
-21.8631,-20.1673,-8.25547,-27.6836,-21.5484,0.145472,0.922961,-24.2207,-20.1389,-7.44333,-28.9615,-26.5838,0.194164,1.02029,0.789661884,0
-21.9179,-21.5918,-5.36391,-25.7688,-17.5617,0.168928,0.999386,-23.1052,-20.9659,-5.50275,-27.6941,-21.7174,0.23876,1.15278,0.640953839,0
-22.5616,-13.0784,-6.81549,-26.2181,-23.5803,0.055417,0.604191,-21.858,-21.3824,-5.44275,-24.6817,-24.1613,0.210015,1.09557,0.333569646,0
-21.9108,-17.4191,-6.74489,-26.1697,-25.2124,0.146748,0.953756,-25.2592,-21.6042,-6.70356,-29.3571,-26.2021,0.230596,1.11966,0.264812142,0
-20.3981,-15.2004,-7.363,-23.4494,-21.4024,0.0724939,0.643338,-23.4906,-21.0396,-7.05297,-31.5937,-26.4989,0.222854,1.1226,0.498577416,0
-22.1515,-19.9572,-6.40882,-24.4253,-20.6594,0.230172,1.16855,-21.9667,-21.8693,-6.21634,-26.7459,-26.6455,0.285536,1.24318,0.260289103,0
-23.2301,-17.1752,-5.03876,-26.1644,-14.63,0.1398,0.932888,-23.6987,-21.1447,-4.03438,-23.0897,-20.6105,0.256545,1.18147,1.22719097,1
-22.2829,-12.0786,-5.91073,-25.9374,-21.1437,0.211001,1.12012,-22.8297,-17.483,-6.19893,-26.5299,-24.5926,0.290658,1.26974,2.62598968,1
-21.8293,-21.643,-8.09884,-28.6686,-13.4215,0.0534325,0.633964,-23.0571,-19.9945,-6.49377,-28.4162,-20.1841,0.0903145,0.872766,0.391300857,0
-12.594,-11.1047,-5.65171,-20.2329,-17.0174,0.0127376,0.302894,-19.077,-7.03114,-5.82824,-21.1854,-17.5334,0.0485235,0.636677,0.234195903,0
-19.3074,-16.6108,-7.164,-26.0828,-20.1689,0.114533,0.844789,-23.4353,-20.5168,-7.85977,-30.8458,-23.0361,0.235551,1.13488,0.375288248,0
-21.4019,-20.4221,-7.93016,-25.1413,-24.2561,0.0351084,0.541832,-25.3157,-22.5288,-8.52021,-27.4332,-25.3169,0.16355,0.944809,0.563424051,0
-19.4745,-16.0962,-5.55577,-20.319,-18.332,0.0495006,0.503514,-22.2572,-18.8584,-5.96652,-28.9681,-19.0039,0.0676897,0.740213,0.994445801,1
-26.6102,-17.1233,-6.63927,-25.4537,-19.0511,0.0956027,0.820539,-26.2262,-23.9497,-8.87747,-31.9312,-26.2677,0.148231,0.904259,0.2718319,0
-25.8888,-20.761,-7.81747,-28.7974,-20.8307,0.0361401,0.572036,-25.2859,-21.9903,-7.35578,-31.2896,-17.7609,0.0785781,0.735205,3.49330473,1
-23.0847,-22.599,-6.47711,-24.3784,-21.1581,0.238291,1.16524,-26.4949,-23.2705,-7.03269,-27.0885,-23.0328,0.24732,1.167,0.454118371,0
-20.7637,-18.8656,-4.99331,-23.6729,-18.7701,0.157254,0.961401,-18.6393,-15.9991,-6.68627,-26.2528,-21.9535,0.190506,1.03487,0.3970581,0
-22.6378,-21.4221,-5.09958,-29.9141,-22.5388,0.220257,1.18276,-23.8955,-22.3856,-6.09104,-29.9824,-27.2921,0.280329,1.24126,0.32830596,0
-21.9083,-21.3994,-4.94618,-26.3183,-25.0776,0.120615,0.889567,-25.5424,-22.6876,-6.03199,-28.6441,-28.2139,0.228269,1.1242,0.941238344,0
-23.4951,-20.6649,-7.00802,-29.0922,-21.5058,0.175722,1.01015,-23.5601,-19.8116,-6.51974,-31.1861,-24.9327,0.278295,1.23208,0.32745716,0
-15.3362,-15.0191,-4.67694,-24.6518,-20.8048,0.199752,1.12105,-23.4671,-21.5497,-4.92562,-32.3086,-25.4002,0.283993,1.24972,0.348909497,0
-14.2002,-12.1622,-10.8805,-18.5753,-16.8464,0.0219349,-0.519268,-19.5334,-19.0736,-6.74166,-24.4056,-16.2372,0.193537,1.03613,0.430482894,0
-25.0001,-24.9102,-6.72737,-27.0131,-19.1199,0.182088,1.05502,-27.094,-23.637,-6.38573,-29.3278,-21.8745,0.291348,1.2673,0.453078836,0
-15.494,-11.3905,-6.85034,-21.9682,-6.33402,0.106501,0.854775,-21.8973,-20.1076,-7.43888,-27.0916,-25.1911,0.184273,1.01721,0.292130291,0
-23.3026,-18.4435,-8.49875,-23.2593,-20.2937,0.11641,0.887816,-26.9045,-21.1877,-6.45584,-25.6151,-24.4812,0.295192,1.26563,0.463552177,0
-22.1835,-21.2069,-5.77686,-28.0284,-23.2361,0.11305,0.87178,-23.8847,-21.0215,-6.59094,-26.1859,-25.2872,0.109394,0.839807,0.296346903,0
-18.6489,-11.455,-8.51615,-17.9628,-17.6715,0.0295497,0.509142,-21.0344,-17.4239,-8.88031,-24.7586,-24.1446,0.221307,1.10872,0.27434808,0
-23.7942,-22.8861,-3.70348,-27.6841,-20.6495,0.229852,1.14171,-23.3571,-22.2452,-5.15486,-28.1651,-27.6888,0.314263,1.31576,0.404855698,0
-21.3739,-18.5785,-4.83725,-25.4911,-18.5246,0.234983,1.2079,-22.9643,-21.314,-5.39423,-26.7124,-23.2622,0.391239,1.45038,0.405118406,0
-21.1686,-18.9841,-7.85731,-24.3805,-24.1745,0.0990867,0.851052,-25.2918,-24.0479,-4.91462,-29.1659,-19.7111,0.271118,1.21568,0.465282023,0
